Feature,Score,MI,RFE,RF
inter_trial_variability,3,True,True,True
rolling_incon_10,3,True,True,True
ddm_fatigue_index,3,True,True,True
incon_acceleration,3,True,True,True
ez_nondecision,3,True,True,True
rt_mean,3,True,True,True
accuracy_decay_rate,3,True,True,True
session_position,3,True,True,True
decision_efficiency,3,True,True,True
pref_reversal_rate,3,True,True,True
rt_kurtosis,3,True,True,True
rolling_incon_5,3,True,True,True
fatigue_slope,2,True,False,True
rt_kurtosis_normalized,2,False,True,True
temporal_load_interaction,2,True,True,False
rt_skew,2,False,True,True
rt_slope,1,True,False,False
choice_entropy,0,False,False,False
rt_cv,0,False,False,False
rt_std,0,False,False,False
drift_boundary_ratio,0,False,False,False
complexity_complexity_2,0,False,False,False
complexity_complexity_1,0,False,False,False
ez_boundary,0,False,False,False
ez_drift_rate,0,False,False,False
session_load,0,False,False,False
