Feature,Missing,Missing%,Outlier,Outlier%,Mean,Std
rt_mean,6000,4.0,5080,3.53,0.9521,0.7321
rt_std,6000,4.0,9388,6.52,0.2396,0.2066
rt_slope,6000,4.0,7349,5.1,0.0009,0.0342
rt_skew,6000,4.0,5353,3.72,0.6093,0.8216
rt_kurtosis,6000,4.0,10499,7.29,0.3031,1.8696
pref_reversal_rate,6000,4.0,7801,5.42,0.5511,0.4446
rolling_incon_5,6000,4.0,5280,3.67,0.4095,0.313
rolling_incon_10,6000,4.0,5127,3.56,0.4043,0.3123
choice_entropy,6000,4.0,34360,23.86,0.6538,0.492
session_position,6000,4.0,3155,2.19,0.4754,0.4964
fatigue_slope,6000,4.0,8025,5.57,0.0012,0.0034
accuracy_decay_rate,6000,4.0,6644,4.61,0.0014,0.0055
inter_trial_variability,6000,4.0,4460,3.1,0.301,0.3157
ez_drift_rate,6000,4.0,35441,24.61,0.16,0.3153
ez_boundary,6000,4.0,36091,25.06,1.6397,1.2356
ez_nondecision,6000,4.0,3071,2.13,0.2857,0.2869
drift_boundary_ratio,6000,4.0,36018,25.01,0.0844,0.156
task_complexity_level,6000,4.0,3144,2.18,1.0493,1.1515
