Feature,SHAP_Importance
rolling_incon_5,2.4603148
rolling_incon_10,1.195605
pref_reversal_rate,0.50370705
ez_nondecision,0.3447839
session_position,0.16353875
accuracy_decay_rate,0.09267718
incon_acceleration,0.09169673
session_load,0.09063137
fatigue_slope,0.08266979
rt_mean,0.07075268
rt_slope,0.060919262
rt_kurtosis,0.055325568
inter_trial_variability,0.05397318
rt_skew,0.043772306
temporal_load_interaction,0.042854227
decision_efficiency,0.042587172
complexity_complexity_2,0.039248005
rt_kurtosis_normalized,0.031032285
rt_std,0.025629343
complexity_complexity_1,0.025392694
rt_cv,0.022319013
choice_entropy,0.0
ez_drift_rate,0.0
ez_boundary,0.0
drift_boundary_ratio,0.0
ddm_fatigue_index,0.0
